longitude	latitude	flightaltitude	timediff, dayfrac	timediff, hh:mm:ss	day=0/night=1
-156.43	22.4	11277.6	-0.0909722223877907	-02:11:00	0
-140.96	29.74	10363.2	-0.0909606483764946	-02:10:59	1
-142.94	30.42	10668	-0.0909374998882413	-02:10:57	0
-156.73	21.65	8077.2	-0.0908680558204651	-02:10:51	1
-130.91	31.45	10972.8	-0.0908680558204651	-02:10:51	0
-152.88	20.68	10972.8	-0.0908680558204651	-02:10:51	0
-154.93	22.83	10058.4	-0.0908680553548038	-02:10:51	1
-151.73	29.67	8839.2	-0.0908333333209157	-02:10:48	1
-156.68	21.77	7772.4	-0.0906481482088566	-02:10:32	1
-155.42	24.62	11582.4	-0.0905902776867151	-02:10:27	0
-146.51	32.05	11582.4	-0.090555555652827	-02:10:24	0
-156.47	22.35	11277.6	-0.0905439811758697	-02:10:23	0
-151.62	21.47	11582.4	-0.0905092591419816	-02:10:20	0
-154.85	22.28	10363.2	-0.0904513890855014	-02:10:15	0
-154.98	22.8	11277.6	-0.090405092574656	-02:10:11	1
-153.47	22.7	12192	-0.0902777779847384	-02:10:00	0
-154.93	22.83	10058.4	-0.090266203507781	-02:09:59	1
-139.43	28.7	11582.4	-0.0901851849630475	-02:09:52	0
-156.79	21.42	10668	-0.0901504629291594	-02:09:49	1
-156.4	22.4	9753.6	-0.0901157408952713	-02:09:46	0
-156.45	22.37	11247.12	-0.0901157408952713	-02:09:46	0
-154.34	25.57	10668	-0.0901041668839753	-02:09:45	1
-156.43	22.4	10088.88	-0.0899305553175509	-02:09:30	0
-151.6	21.52	11277.6	-0.0899074072949588	-02:09:28	0
-130	28	10363.2	-0.0898842592723668	-02:09:26	0
-147.89	25.24	10668	-0.0898842592723668	-02:09:26	0
-156.45	22.38	9479.28	-0.0898611112497747	-02:09:24	0
-149.08	30.05	10058.4	-0.0898263887502253	-02:09:21	0
-125.17	36.08	10058.4	-0.0898032407276332	-02:09:19	1
-139.43	28.7	10058.4	-0.0897106481716037	-02:09:11	0
-139.43	28.7	10972.8	-0.0895370370708406	-02:08:56	0
-139.43	28.7	11277.6	-0.0895254630595446	-02:08:55	0
-153.4	22.63	10363.2	-0.0892361109144986	-02:08:30	0
-153.37	22.75	10363.2	-0.0891782403923571	-02:08:25	0
-156.23	21.83	11064.24	-0.0890509258024395	-02:08:14	0
-156.6	23.2	10942.32	-0.0890162037685514	-02:08:11	0
-156.07	20.88	9174.48	-0.0889583332464099	-02:08:06	0
-122.25	33.52	11582.4	-0.0889236112125218	-02:08:03	0
-156.33	21.8	10149.84	-0.0888888887129724	-02:08:00	0
-152.03	23.29	10668	-0.0888541666790843	-02:07:57	0
-152.83	26.22	11582.4	-0.0888310186564922	-02:07:55	0
-123.3	37.48	6553.2	-0.0888194441795349	-02:07:54	0
-154.48	20.78	8534.4	-0.0885995370335877	-02:07:35	0
-156.52	22.32	10332.72	-0.0885416669771075	-02:07:30	0
-156.27	21.8	10576.56	-0.0884837964549661	-02:07:25	0
-141.92	31.98	10363.2	-0.0883796298876405	-02:07:16	0
-155.1	22.12	8839.2	-0.088321759365499	-02:07:11	1
-156.57	23.03	10942.32	-0.088310185354203	-02:07:10	0
-155.43	24.57	10363.2	-0.0882523148320615	-02:07:05	0
-145.05	26.48	10363.2	-0.0882407408207655	-02:07:04	0
-122.89	36.01	10972.8	-0.088171296287328	-02:06:58	0
-153.37	22.68	10972.8	-0.0880671297200024	-02:06:49	0
-154.87	22.25	10363.2	-0.0880439816974103	-02:06:47	0
-153.87	24.53	11582.4	-0.0880439812317491	-02:06:47	0
-156.32	21.78	6096	-0.088032407220453	-02:06:46	0
-153.47	22.7	10668	-0.0880092596635222	-02:06:44	0
-153.42	22.72	10363.2	-0.088009259197861	-02:06:44	0
-143.72	27.03	11582.4	-0.0879513891413808	-02:06:39	0
-156.55	22.9	10515.6	-0.0876157409511507	-02:06:10	0
-156.03	20.9	6096	-0.0875925924628973	-02:06:08	0
-156.45	22.38	8534.4	-0.0875115739181638	-02:06:01	0
-156.75	23.95	10972.8	-0.0875115739181638	-02:06:01	0
-138.7	32.31	10668	-0.0874768518842757	-02:05:58	1
-144.46	35.59	10972.8	-0.0874652774073184	-02:05:57	0
-154.95	22.82	10363.2	-0.0874305553734303	-02:05:54	1
-153.45	22.72	12192	-0.0873379628174007	-02:05:46	0
-139.43	28.7	11887.2	-0.0873379628174007	-02:05:46	0
-156.23	21.82	8534.4	-0.0872569442726672	-02:05:39	0
-155.13	23.63	10972.8	-0.0870138891041279	-02:05:18	0
-156.52	22.77	10149.84	-0.0869212965480983	-02:05:10	0
-156.78	23.82	10972.8	-0.0868171295151114	-02:05:01	0
-156.57	22.88	10972.8	-0.0868055555038154	-02:05:00	0
-156.55	22.95	10972.8	-0.0867824074812233	-02:04:58	0
-142.97	30.4	11277.6	-0.0866898149251938	-02:04:50	0
-149.08	30.05	10972.8	-0.0866782409138978	-02:04:49	0
-156.28	21.8	9144	-0.0865972223691642	-02:04:42	0
-139.43	28.7	10668	-0.0865509258583188	-02:04:38	0
-155.18	23.5	10668	-0.0865277778357267	-02:04:36	0
-154.78	22.28	9753.6	-0.0864236112684011	-02:04:27	0
-139.43	28.7	10363.2	-0.0862731481902301	-02:04:14	0
-153.68	21.92	10668	-0.0862152776680887	-02:04:09	1
-156.5	22.63	9814.56	-0.0862152776680887	-02:04:09	0
-148.47	27.62	10972.8	-0.0862037036567926	-02:04:08	0
-153.43	22.67	11277.6	-0.0861458336003125	-02:04:03	0
-147.75	31.1	10972.8	-0.0860185185447335	-02:03:52	0
-156.1	20.75	10972.8	-0.0859722220338881	-02:03:48	0
-153.47	22.62	10058.4	-0.0859722220338881	-02:03:48	0
