lon	lat	alt
-121.05904	35.127724	9753.6
-143.6399	27.076061	9753.6
-121.05852	35.12743	10668
-143.6377	27.067146	10668
-143.6378	27.067574	10363.2
-136.20279	29.826405	10363.2
-130.86351	31.451277	10363.2
-153.39697	22.726238	10363.2
-130.3392	29.454395	10363.2
-153.03635	21.196602	10363.2
-130.33888	29.453173	9753.6
-140.82922	28.181599	10972.8
-140.82921	28.18151	
-140.34462	26.247984	10363.2
-140.8292	28.181408	9144
-127.98221	32.228203	10668
-150.5932	23.922068	10668
-127.98298	32.231018	10363.2
-137.99632	29.19258	11277.6
-138.00244	29.20969	10668
-138.00235	29.209337	9753.6
-137.99716	29.188986	10058.4
-147.82262	25.237774	10668
-125.08527	32.93621	10058.4
-147.81743	25.216375	10058.4
-125.083595	32.930176	10668
-147.80719	25.173843	10668
-141.30919	27.997593	9753.6
-135.0444	29.717823	10972.8
-134.64961	28.17981	10668
-135.16206	30.169117	10058.4
-126.17636	32.67452	9144
-153.4349	22.645788	9753.6
-144.5738	24.58452	10363.2
-121.61154	31.514446	10058.4
-144.57346	24.583044	10058.4
-122.18611	33.62839	10058.4
-145.04	26.484138	10668
-132.25294	30.857712	9144
-154.8359	22.271694	9144
-132.30434	31.050213	10058.4
-154.8226	22.215042	10058.4
-132.29807	31.027958	10668
-154.83202	22.255075	10668
-132.29977	31.03439	10363.2
-122.880646	33.421986	8534.4
-149.9541	24.273506	9753.6
-142.2408	27.648777	11277.6
-142.2406	27.648085	10058.4
-142.24066	27.64833	10668
-142.23717	27.634283	9753.6
-129.41765	31.817507	10363.2
-151.97711	23.247372	10363.2
-129.42677	31.851254	10363.2
-151.9794	23.2569	10363.2
-126.53524	32.587788	10363.2
-149.18015	24.465286	10363.2
-126.532326	32.577106	10363.2
-149.2059	24.574423	10363.2
-126.53361	32.5818	9753.6
-149.21236	24.600817	10363.2
-136.58273	29.697495	10668
-136.5804	29.688454	10058.4
-136.58063	29.689281	9144
-127.835785	32.244804	9144
-155.08469	22.194105	10058.4
-123.626724	33.257816	10972.8
-146.43481	25.885006	10972.8
-123.62261	33.242832	10058.4
-146.43456	25.883928	10058.4
-146.43379	25.880861	9753.6
-139.59724	28.64039	9144
-133.72743	30.602173	11277.6
-133.6427	30.279379	10363.2
-133.72627	30.621714	10363.2
-156.26917	21.810785	8869.68
-133.73398	30.621004	10668
-156.2694	21.81177	10119.36
-133.73215	30.6199	9753.6
-143.63617	27.067343	10972.8
-120.76241	34.07951	10027.92
-143.63849	27.076645	9753.6
-143.63828	27.075823	10363.2
-130.86002	31.450506	10363.2
-153.38046	22.672693	10363.2
-130.86288	31.461206	9144
-121.271	33.640415	9753.6
-148.21231	25.064867	9753.6
-140.82791	28.196644	11277.6
-140.82465	28.183537	10363.2
-140.82452	28.183033	10668
-140.82457	28.183262	9753.6
-127.97378	32.218117	10363.2
-150.59946	23.973492	10363.2
-127.9709	32.207523	10058.4
-150.59213	23.943148	10058.4
-127.97578	32.228672	9144
-144.73851	26.612375	9753.6
-137.98994	29.191221	11582.4
-137.99538	29.212168	10058.4
-137.99538	29.212168	10058.4
-137.99538	29.212168	9753.6
-129.4835	31.836807	9144
-125.075066	32.933086	10668
-147.80685	25.211067	11277.6
-124.5324	30.914385	10668
-147.33578	23.261934	10668
-147.80847	25.217794	9753.6
-141.29639	28.002018	9753.6
-134.62947	28.144135	9753.6
-135.15181	30.17244	10972.8
-135.15181	30.17244	10363.2
-135.15181	30.17244	10363.2
-135.13882	30.122807	9144
-126.14596	32.73956	9753.6
